2023-03-20 11:14:44.506 [DEBU] {4011bb9a28024e17bc3f89253f1a291e} [ 25 ms] [default] [gf-shop] [rows:7  ] SHOW FULL COLUMNS FROM `rotation_info`
2023-03-20 11:14:44.520 [DEBU] {4011bb9a28024e17bc3f89253f1a291e} [ 14 ms] [default] [gf-shop] [rows:1  ] INSERT INTO `rotation_info`(`pic_url`,`link`,`sort`,`created_at`,`updated_at`) VALUES('http://dummyimage.com/120x60','http://yypbiyi.nz/hbcygud',1,'2023-03-20 11:14:44','2023-03-20 11:14:44') 
2023-03-20 11:15:03.537 [DEBU] {b858d20a2d024e17bd3f8925eb6a3997} [  3 ms] [default] [gf-shop] [rows:9  ] SHOW FULL COLUMNS FROM `position_info`
2023-03-20 11:15:03.541 [DEBU] {b858d20a2d024e17bd3f8925eb6a3997} [  4 ms] [default] [gf-shop] [rows:1  ] INSERT INTO `position_info`(`goods_id`,`pic_url`,`created_at`,`link`,`updated_at`,`sort`,`goods_name`) VALUES(81,'http://dummyimage.com/120x60','2023-03-20 11:15:03','http://yypbiyi.nz/hbcygud','2023-03-20 11:15:03',1,'它') 
2023-03-20 11:15:04.476 [DEBU] {00b4d3422d024e17be3f89256e34f163} [  2 ms] [default] [gf-shop] [rows:1  ] INSERT INTO `position_info`(`updated_at`,`sort`,`goods_name`,`goods_id`,`created_at`,`link`,`pic_url`) VALUES('2023-03-20 11:15:04',1,'它',81,'2023-03-20 11:15:04','http://yypbiyi.nz/hbcygud','http://dummyimage.com/120x60') 
2023-03-20 11:15:05.119 [DEBU] {586639692d024e17bf3f8925eab81c28} [  1 ms] [default] [gf-shop] [rows:1  ] INSERT INTO `position_info`(`created_at`,`pic_url`,`link`,`goods_id`,`updated_at`,`sort`,`goods_name`) VALUES('2023-03-20 11:15:05','http://dummyimage.com/120x60','http://yypbiyi.nz/hbcygud',81,'2023-03-20 11:15:05',1,'它') 
2023-03-20 11:15:27.818 [DEBU] {f05cf8b132024e17c03f89252c472977} [  4 ms] [default] [gf-shop] [rows:1  ] INSERT INTO `position_info`(`goods_id`,`created_at`,`pic_url`,`updated_at`,`link`,`sort`,`goods_name`) VALUES(93,'2023-03-20 11:15:27','http://dummyimage.com/160x600','2023-03-20 11:15:27','http://jynbisii.cu/munsfcey',1,'万') 
2023-03-20 11:15:30.884 [DEBU] {5872dc6833024e17c13f8925d109886e} [  2 ms] [default] [gf-shop] [rows:1  ] INSERT INTO `position_info`(`sort`,`goods_name`,`goods_id`,`created_at`,`link`,`pic_url`,`updated_at`) VALUES(1,'低',96,'2023-03-20 11:15:30','http://slcnbfezx.dm/gkoomhxgj','http://dummyimage.com/336x280','2023-03-20 11:15:30') 
2023-03-20 15:58:13.189 [DEBU] {4889e2c0a0114e17d297572be27dc728} [  2 ms] [default] [gf-shop] [rows:0  ] [txid:1] BEGIN
2023-03-20 15:58:13.194 [DEBU] {4889e2c0a0114e17d297572be27dc728} [  4 ms] [default] [gf-shop] [rows:9  ] [txid:1] SHOW FULL COLUMNS FROM `position_info`
2023-03-20 15:58:13.196 [DEBU] {4889e2c0a0114e17d297572be27dc728} [  2 ms] [default] [gf-shop] [rows:1  ] [txid:1] DELETE FROM `position_info` WHERE `id`=3
2023-03-20 15:58:13.199 [DEBU] {4889e2c0a0114e17d297572be27dc728} [  3 ms] [default] [gf-shop] [rows:0  ] [txid:1] COMMIT
2023-03-20 15:58:17.305 [DEBU] {d8c484b6a1114e17d397572b89f62025} [  0 ms] [default] [gf-shop] [rows:0  ] [txid:2] BEGIN
2023-03-20 15:58:17.307 [DEBU] {d8c484b6a1114e17d397572b89f62025} [  1 ms] [default] [gf-shop] [rows:0  ] [txid:2] DELETE FROM `position_info` WHERE `id`=1
2023-03-20 15:58:17.308 [DEBU] {d8c484b6a1114e17d397572b89f62025} [  1 ms] [default] [gf-shop] [rows:0  ] [txid:2] COMMIT
2023-03-20 15:58:18.254 [DEBU] {186e12efa1114e17d497572bacbf12c0} [  0 ms] [default] [gf-shop] [rows:0  ] [txid:3] BEGIN
2023-03-20 15:58:18.255 [DEBU] {186e12efa1114e17d497572bacbf12c0} [  0 ms] [default] [gf-shop] [rows:0  ] [txid:3] DELETE FROM `position_info` WHERE `id`=1
2023-03-20 15:58:18.256 [DEBU] {186e12efa1114e17d497572bacbf12c0} [  0 ms] [default] [gf-shop] [rows:0  ] [txid:3] COMMIT
2023-03-20 15:58:21.362 [DEBU] {e8fc49a8a2114e17d597572b7eccfbaf} [  1 ms] [default] [gf-shop] [rows:0  ] [txid:4] BEGIN
2023-03-20 15:58:21.363 [DEBU] {e8fc49a8a2114e17d597572b7eccfbaf} [  1 ms] [default] [gf-shop] [rows:0  ] [txid:4] DELETE FROM `position_info` WHERE `id`=3
