2023-04-03 17:50:51.604 [DEBU] {20ce0143e66352176ab05c3af1491813} [ 23 ms] [default] [gf-shop] [rows:8  ] SHOW FULL COLUMNS FROM `admin_info`
2023-04-03 17:50:51.617 [DEBU] {20ce0143e66352176ab05c3af1491813} [ 11 ms] [default] [gf-shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='Brown1' LIMIT 1
2023-04-03 17:50:53.845 [DEBU] {e823d5c9e66352176eb05c3ae1398e7d} [  1 ms] [default] [gf-shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='Brown1' LIMIT 1
2023-04-03 17:50:54.555 [DEBU] {d8eb3df4e663521774b05c3ac3fb9821} [  0 ms] [default] [gf-shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='Brown1' LIMIT 1
2023-04-03 17:50:55.153 [DEBU] {d016e317e76352177ab05c3a5a807e25} [  1 ms] [default] [gf-shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='Brown1' LIMIT 1
2023-04-03 17:51:48.549 [DEBU] {f0d6f185f363521735d0ca3ba8570c79} [  4 ms] [default] [gf-shop] [rows:8  ] SHOW FULL COLUMNS FROM `admin_info`
2023-04-03 17:51:48.551 [DEBU] {f0d6f185f363521735d0ca3ba8570c79} [  2 ms] [default] [gf-shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='Brown1' LIMIT 1
2023-04-03 17:51:49.721 [DEBU] {90b135ccf3635217fb3c717a03ad266f} [  3 ms] [default] [gf-shop] [rows:8  ] SHOW FULL COLUMNS FROM `admin_info`
2023-04-03 17:51:49.722 [DEBU] {90b135ccf3635217fb3c717a03ad266f} [  1 ms] [default] [gf-shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='Brown1' LIMIT 1
2023-04-03 17:53:48.781 [DEBU] {386759840f6452174147646dc48bc25d} [  7 ms] [default] [gf-shop] [rows:8  ] SHOW FULL COLUMNS FROM `admin_info`
2023-04-03 17:53:48.782 [DEBU] {386759840f6452174147646dc48bc25d} [  0 ms] [default] [gf-shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='Brown1' LIMIT 1
2023-04-03 17:53:50.164 [DEBU] {783e67d70f6452174447646d58f787ce} [  0 ms] [default] [gf-shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='Brown1' LIMIT 1
2023-04-03 17:53:55.911 [DEBU] {e0d4a22d116452174747646df7e04ed2} [  4 ms] [default] [gf-shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='Brown1' LIMIT 1
2023-04-03 17:53:56.732 [DEBU] {1815cc5e116452174a47646d317e96b7} [  1 ms] [default] [gf-shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='Brown1' LIMIT 1
2023-04-03 17:53:57.971 [DEBU] {3867b0a8116452174d47646d80aefe3e} [  1 ms] [default] [gf-shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='Brown1' LIMIT 1
2023-04-03 17:55:00.757 [DEBU] {0853bb4620645217b2786d6ab80fc115} [  3 ms] [default] [gf-shop] [rows:8  ] SHOW FULL COLUMNS FROM `admin_info`
2023-04-03 17:55:00.761 [DEBU] {0853bb4620645217b2786d6ab80fc115} [  3 ms] [default] [gf-shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='Brown1' LIMIT 1
2023-04-03 17:58:50.291 [DEBU] {50ace6b7556452170065680636c7979b} [  5 ms] [default] [gf-shop] [rows:8  ] SHOW FULL COLUMNS FROM `admin_info`
2023-04-03 17:58:50.292 [DEBU] {50ace6b7556452170065680636c7979b} [  1 ms] [default] [gf-shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='Brown1' LIMIT 1
2023-04-03 17:58:51.279 [DEBU] {88592af355645217036568063d6b234c} [  1 ms] [default] [gf-shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='Brown1' LIMIT 1
2023-04-03 17:58:52.017 [DEBU] {0897311f566452170665680695db6895} [  1 ms] [default] [gf-shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='Brown1' LIMIT 1
2023-04-03 17:58:52.610 [DEBU] {0098604256645217096568063b2d8c66} [  2 ms] [default] [gf-shop] [rows:1  ] SELECT `id`,`name`,`password`,`role_ids`,`created_at`,`updated_at`,`user_salt`,`is_admin` FROM `admin_info` WHERE `name`='Brown1' LIMIT 1
